vn,ve,vd
0.429999977,0.140000001,0.789999962
0.429999977,0.140000001,0.789999962
0.429999977,0.140000001,0.789999962
0.429999977,0.140000001,0.789999962
0.429999977,0.140000001,0.789999962
0.429999977,0.140000001,0.789999962
0.639999986,-0.059999999,0.819999993
0.639999986,-0.059999999,0.819999993
0.639999986,-0.059999999,0.819999993
0.639999986,-0.059999999,0.819999993
0.639999986,-0.059999999,0.819999993
0.639999986,-0.059999999,0.819999993
0.509999991,-0.159999996,1.0
0.509999991,-0.159999996,1.0
0.509999991,-0.159999996,1.0
0.509999991,-0.159999996,1.0
0.509999991,-0.159999996,1.0
0.509999991,-0.159999996,1.0
0.550000012,0.280000001,1.059999943
0.550000012,0.280000001,1.059999943
0.550000012,0.280000001,1.059999943
0.550000012,0.280000001,1.059999943
0.550000012,0.280000001,1.059999943
0.550000012,0.280000001,1.059999943
0.969999969,0.5,0.98999995
0.969999969,0.5,0.98999995
0.969999969,0.5,0.98999995
0.969999969,0.5,0.98999995
0.969999969,0.5,0.98999995
0.969999969,0.5,0.98999995
1.309999943,0.439999998,0.98999995
1.309999943,0.439999998,0.98999995
1.309999943,0.439999998,0.98999995
1.309999943,0.439999998,0.98999995
1.309999943,0.439999998,0.98999995
1.309999943,0.439999998,0.98999995
0.620000005,0.269999981,0.799999952
0.620000005,0.269999981,0.799999952
0.620000005,0.269999981,0.799999952
0.620000005,0.269999981,0.799999952
0.620000005,0.269999981,0.799999952
0.620000005,0.269999981,0.799999952
0.449999988,-0.109999999,0.829999983
0.449999988,-0.109999999,0.829999983
0.449999988,-0.109999999,0.829999983
0.449999988,-0.109999999,0.829999983
0.449999988,-0.109999999,0.829999983
0.449999988,-0.109999999,0.829999983
0.72999996,0.199999988,0.769999981
0.72999996,0.199999988,0.769999981
0.72999996,0.199999988,0.769999981
0.72999996,0.199999988,0.769999981
0.72999996,0.199999988,0.769999981
0.72999996,0.199999988,0.769999981
0.310000002,-0.07,0.629999995
0.310000002,-0.07,0.629999995
0.310000002,-0.07,0.629999995
0.310000002,-0.07,0.629999995
0.310000002,-0.07,0.629999995
0.310000002,-0.07,0.629999995
0.75,0.379999995,0.439999998
0.75,0.379999995,0.439999998
0.75,0.379999995,0.439999998
0.75,0.379999995,0.439999998
0.75,0.379999995,0.439999998
0.75,0.379999995,0.439999998
0.759999991,0.620000005,0.509999991
0.759999991,0.620000005,0.509999991
0.759999991,0.620000005,0.509999991
0.759999991,0.620000005,0.509999991
0.759999991,0.620000005,0.509999991
0.759999991,0.620000005,0.509999991
0.789999962,0.370000005,0.769999981
0.789999962,0.370000005,0.769999981
0.789999962,0.370000005,0.769999981
0.789999962,0.370000005,0.769999981
0.789999962,0.370000005,0.769999981
0.789999962,0.370000005,0.769999981
0.620000005,0.779999971,0.509999991
0.620000005,0.779999971,0.509999991
0.620000005,0.779999971,0.509999991
0.620000005,0.779999971,0.509999991
0.620000005,0.779999971,0.509999991
0.620000005,0.779999971,0.509999991
0.449999988,0.509999991,0.539999962
0.449999988,0.509999991,0.539999962
0.449999988,0.509999991,0.539999962
0.449999988,0.509999991,0.539999962
0.449999988,0.509999991,0.539999962
0.449999988,0.509999991,0.539999962
0.759999991,0.529999971,0.560000002
0.759999991,0.529999971,0.560000002
0.759999991,0.529999971,0.560000002
0.759999991,0.529999971,0.560000002
0.759999991,0.529999971,0.560000002
0.759999991,0.529999971,0.560000002
0.370000005,0.469999999,0.550000012
0.370000005,0.469999999,0.550000012
0.370000005,0.469999999,0.550000012
0.370000005,0.469999999,0.550000012
0.370000005,0.469999999,0.550000012
0.370000005,0.469999999,0.550000012
0.379999995,0.680000007,0.340000004
0.379999995,0.680000007,0.340000004
0.379999995,0.680000007,0.340000004
0.379999995,0.680000007,0.340000004
0.379999995,0.680000007,0.340000004
0.379999995,0.680000007,0.340000004
0.259999991,0.199999988,0.409999996
0.259999991,0.199999988,0.409999996
0.259999991,0.199999988,0.409999996
0.259999991,0.199999988,0.409999996
0.259999991,0.199999988,0.409999996
0.259999991,0.199999988,0.409999996
0.25,0.07,0.319999993
0.25,0.07,0.319999993
0.25,0.07,0.319999993
0.25,0.07,0.319999993
0.25,0.07,0.319999993
0.25,0.07,0.319999993
0.299999982,-0.079999998,0.089999996
0.299999982,-0.079999998,0.089999996
0.299999982,-0.079999998,0.089999996
0.299999982,-0.079999998,0.089999996
0.299999982,-0.079999998,0.089999996
0.299999982,-0.079999998,0.089999996
0.159999996,-0.039999999,0.219999999
0.159999996,-0.039999999,0.219999999
0.159999996,-0.039999999,0.219999999
0.159999996,-0.039999999,0.219999999
0.159999996,-0.039999999,0.219999999
0.159999996,-0.039999999,0.219999999
0.089999996,0.219999999,0.099999994
0.089999996,0.219999999,0.099999994
0.089999996,0.219999999,0.099999994
0.089999996,0.219999999,0.099999994
0.089999996,0.219999999,0.099999994
0.089999996,0.219999999,0.099999994
0.189999998,0.039999999,0.140000001
0.189999998,0.039999999,0.140000001
0.189999998,0.039999999,0.140000001
0.189999998,0.039999999,0.140000001
0.189999998,0.039999999,0.140000001
0.189999998,0.039999999,0.140000001
0.119999997,-0.099999994,-0.099999994
0.119999997,-0.099999994,-0.099999994
0.119999997,-0.099999994,-0.099999994
0.119999997,-0.099999994,-0.099999994
0.119999997,-0.099999994,-0.099999994
0.119999997,-0.099999994,-0.099999994
-0.079999998,-0.089999996,0.189999998
-0.079999998,-0.089999996,0.189999998
-0.079999998,-0.089999996,0.189999998
-0.079999998,-0.089999996,0.189999998
-0.079999998,-0.089999996,0.189999998
-0.079999998,-0.089999996,0.189999998
-0.029999999,0.02,0.209999993
-0.029999999,0.02,0.209999993
-0.029999999,0.02,0.209999993
-0.029999999,0.02,0.209999993
-0.029999999,0.02,0.209999993
-0.029999999,0.02,0.209999993
0.109999999,0.159999996,0.199999988
0.109999999,0.159999996,0.199999988
0.109999999,0.159999996,0.199999988
0.109999999,0.159999996,0.199999988
0.109999999,0.159999996,0.199999988
0.109999999,0.159999996,0.199999988
-0.039999999,0.269999981,0.140000001
-0.039999999,0.269999981,0.140000001
-0.039999999,0.269999981,0.140000001
-0.039999999,0.269999981,0.140000001
-0.039999999,0.269999981,0.140000001
-0.039999999,0.269999981,0.140000001
-0.01,-0.149999991,0.140000001
-0.01,-0.149999991,0.140000001
-0.01,-0.149999991,0.140000001
-0.01,-0.149999991,0.140000001
-0.01,-0.149999991,0.140000001
-0.01,-0.149999991,0.140000001
-0.179999992,0.029999999,0.07
-0.179999992,0.029999999,0.07
-0.179999992,0.029999999,0.07
-0.179999992,0.029999999,0.07
-0.179999992,0.029999999,0.07
-0.179999992,0.029999999,0.07
-0.119999997,-0.149999991,-0.02
-0.119999997,-0.149999991,-0.02
-0.119999997,-0.149999991,-0.02
-0.119999997,-0.149999991,-0.02
-0.119999997,-0.149999991,-0.02
-0.119999997,-0.149999991,-0.02
0.0,0.159999996,-0.149999991
0.0,0.159999996,-0.149999991
0.0,0.159999996,-0.149999991
0.0,0.159999996,-0.149999991
0.0,0.159999996,-0.149999991
0.0,0.159999996,-0.149999991
0.269999981,0.439999998,-0.359999985
0.269999981,0.439999998,-0.359999985
0.269999981,0.439999998,-0.359999985
0.269999981,0.439999998,-0.359999985
0.269999981,0.439999998,-0.359999985
0.269999981,0.439999998,-0.359999985
-0.02,0.389999986,-0.399999976
-0.02,0.389999986,-0.399999976
-0.02,0.389999986,-0.399999976
-0.02,0.389999986,-0.399999976
-0.02,0.389999986,-0.399999976
-0.02,0.389999986,-0.399999976
0.539999962,0.379999995,-1.009999991
0.539999962,0.379999995,-1.009999991
0.539999962,0.379999995,-1.009999991
0.539999962,0.379999995,-1.009999991
0.539999962,0.379999995,-1.009999991
0.539999962,0.379999995,-1.009999991
-0.07,-0.419999987,-1.019999981
-0.07,-0.419999987,-1.019999981
-0.07,-0.419999987,-1.019999981
-0.07,-0.419999987,-1.019999981
-0.07,-0.419999987,-1.019999981
-0.07,-0.419999987,-1.019999981
0.01,-0.219999999,-0.859999955
0.01,-0.219999999,-0.859999955
0.01,-0.219999999,-0.859999955
0.01,-0.219999999,-0.859999955
0.01,-0.219999999,-0.859999955
0.01,-0.219999999,-0.859999955
-0.259999991,-0.459999979,-0.74000001
-0.259999991,-0.459999979,-0.74000001
-0.259999991,-0.459999979,-0.74000001
-0.259999991,-0.459999979,-0.74000001
-0.259999991,-0.459999979,-0.74000001
-0.259999991,-0.459999979,-0.74000001
-0.449999988,-0.5,-0.699999988
-0.449999988,-0.5,-0.699999988
-0.449999988,-0.5,-0.699999988
-0.449999988,-0.5,-0.699999988
-0.449999988,-0.5,-0.699999988
-0.449999988,-0.5,-0.699999988
-0.419999987,-0.399999976,-0.48999998
-0.419999987,-0.399999976,-0.48999998
-0.419999987,-0.399999976,-0.48999998
-0.419999987,-0.399999976,-0.48999998
-0.419999987,-0.399999976,-0.48999998
-0.419999987,-0.399999976,-0.48999998
-0.589999974,-0.680000007,-0.550000012
-0.589999974,-0.680000007,-0.550000012
-0.589999974,-0.680000007,-0.550000012
-0.589999974,-0.680000007,-0.550000012
-0.589999974,-0.680000007,-0.550000012
-0.589999974,-0.680000007,-0.550000012
-0.459999979,-0.649999976,-0.919999957
-0.459999979,-0.649999976,-0.919999957
-0.459999979,-0.649999976,-0.919999957
-0.459999979,-0.649999976,-0.919999957
-0.459999979,-0.649999976,-0.919999957
-0.459999979,-0.649999976,-0.919999957
-0.629999995,-0.759999991,-0.930000007
-0.629999995,-0.759999991,-0.930000007
-0.629999995,-0.759999991,-0.930000007
-0.629999995,-0.759999991,-0.930000007
-0.629999995,-0.759999991,-0.930000007
-0.629999995,-0.759999991,-0.930000007
-0.529999971,-0.689999998,-0.939999998
-0.529999971,-0.689999998,-0.939999998
-0.529999971,-0.689999998,-0.939999998
-0.529999971,-0.689999998,-0.939999998
-0.529999971,-0.689999998,-0.939999998
-0.529999971,-0.689999998,-0.939999998
-0.409999996,-0.539999962,-0.509999991
-0.409999996,-0.539999962,-0.509999991
-0.409999996,-0.539999962,-0.509999991
-0.409999996,-0.539999962,-0.509999991
-0.409999996,-0.539999962,-0.509999991
-0.409999996,-0.539999962,-0.509999991
-0.459999979,-0.399999976,-0.680000007
-0.459999979,-0.399999976,-0.680000007
-0.459999979,-0.399999976,-0.680000007
-0.459999979,-0.399999976,-0.680000007
-0.459999979,-0.399999976,-0.680000007
-0.459999979,-0.399999976,-0.680000007
-0.399999976,-0.299999982,-0.340000004
-0.399999976,-0.299999982,-0.340000004
-0.399999976,-0.299999982,-0.340000004
-0.399999976,-0.299999982,-0.340000004
-0.399999976,-0.299999982,-0.340000004
-0.399999976,-0.299999982,-0.340000004
-0.479999989,-0.370000005,-0.680000007
-0.479999989,-0.370000005,-0.680000007
-0.479999989,-0.370000005,-0.680000007
-0.479999989,-0.370000005,-0.680000007
-0.479999989,-0.370000005,-0.680000007
-0.479999989,-0.370000005,-0.680000007
-0.409999996,-0.319999993,-1.029999971
-0.409999996,-0.319999993,-1.029999971
-0.409999996,-0.319999993,-1.029999971
-0.409999996,-0.319999993,-1.029999971
-0.409999996,-0.319999993,-1.029999971
-0.409999996,-0.319999993,-1.029999971
-0.459999979,-0.560000002,-0.680000007
-0.459999979,-0.560000002,-0.680000007
-0.459999979,-0.560000002,-0.680000007
-0.459999979,-0.560000002,-0.680000007
-0.459999979,-0.560000002,-0.680000007
-0.459999979,-0.560000002,-0.680000007
-0.479999989,-0.969999969,-0.560000002
-0.479999989,-0.969999969,-0.560000002
-0.479999989,-0.969999969,-0.560000002
-0.479999989,-0.969999969,-0.560000002
-0.479999989,-0.969999969,-0.560000002
-0.479999989,-0.969999969,-0.560000002
-0.529999971,-0.810000002,-0.049999997
-0.529999971,-0.810000002,-0.049999997
-0.529999971,-0.810000002,-0.049999997
-0.529999971,-0.810000002,-0.049999997
-0.529999971,-0.810000002,-0.049999997
-0.529999971,-0.810000002,-0.049999997
-0.269999981,-0.539999962,-0.179999992
-0.269999981,-0.539999962,-0.179999992
-0.269999981,-0.539999962,-0.179999992
-0.269999981,-0.539999962,-0.179999992
-0.269999981,-0.539999962,-0.179999992
-0.269999981,-0.539999962,-0.179999992
0.029999999,-0.459999979,-0.310000002
0.029999999,-0.459999979,-0.310000002
0.029999999,-0.459999979,-0.310000002
0.029999999,-0.459999979,-0.310000002
0.029999999,-0.459999979,-0.310000002
0.029999999,-0.459999979,-0.310000002
-0.01,-0.399999976,-0.459999979
-0.01,-0.399999976,-0.459999979
-0.01,-0.399999976,-0.459999979
-0.01,-0.399999976,-0.459999979
-0.01,-0.399999976,-0.459999979
-0.01,-0.399999976,-0.459999979
0.079999998,-0.219999999,-0.610000014
0.079999998,-0.219999999,-0.610000014
0.079999998,-0.219999999,-0.610000014
0.079999998,-0.219999999,-0.610000014
0.079999998,-0.219999999,-0.610000014
0.079999998,-0.219999999,-0.610000014
-0.029999999,-0.089999996,-0.589999974
-0.029999999,-0.089999996,-0.589999974
-0.029999999,-0.089999996,-0.589999974
-0.029999999,-0.089999996,-0.589999974
-0.029999999,-0.089999996,-0.589999974
-0.029999999,-0.089999996,-0.589999974
0.029999999,0.550000012,-0.269999981
0.029999999,0.550000012,-0.269999981
0.029999999,0.550000012,-0.269999981
0.029999999,0.550000012,-0.269999981
0.029999999,0.550000012,-0.269999981
0.029999999,0.550000012,-0.269999981
0.099999994,0.07,-0.259999991
0.099999994,0.07,-0.259999991
0.099999994,0.07,-0.259999991
0.099999994,0.07,-0.259999991
0.099999994,0.07,-0.259999991
0.099999994,0.07,-0.259999991
-0.159999996,-0.659999967,0.039999999
-0.159999996,-0.659999967,0.039999999
-0.159999996,-0.659999967,0.039999999
-0.159999996,-0.659999967,0.039999999
-0.159999996,-0.659999967,0.039999999
-0.159999996,-0.659999967,0.039999999
-0.029999999,0.159999996,0.129999995
-0.029999999,0.159999996,0.129999995
-0.029999999,0.159999996,0.129999995
-0.029999999,0.159999996,0.129999995
-0.029999999,0.159999996,0.129999995
-0.029999999,0.159999996,0.129999995
0.209999993,0.119999997,0.299999982
0.209999993,0.119999997,0.299999982
0.209999993,0.119999997,0.299999982
0.209999993,0.119999997,0.299999982
0.209999993,0.119999997,0.299999982
0.209999993,0.119999997,0.299999982
0.429999977,0.359999985,0.059999999
0.429999977,0.359999985,0.059999999
0.429999977,0.359999985,0.059999999
0.429999977,0.359999985,0.059999999
0.429999977,0.359999985,0.059999999
0.429999977,0.359999985,0.059999999
0.239999995,0.149999991,-0.149999991
0.239999995,0.149999991,-0.149999991
0.239999995,0.149999991,-0.149999991
0.239999995,0.149999991,-0.149999991
0.239999995,0.149999991,-0.149999991
0.239999995,0.149999991,-0.149999991
0.0,-0.899999976,-0.340000004
0.0,-0.899999976,-0.340000004
0.0,-0.899999976,-0.340000004
0.0,-0.899999976,-0.340000004
0.0,-0.899999976,-0.340000004
0.0,-0.899999976,-0.340000004
0.140000001,-0.689999998,-0.089999996
0.140000001,-0.689999998,-0.089999996
0.140000001,-0.689999998,-0.089999996
0.140000001,-0.689999998,-0.089999996
0.140000001,-0.689999998,-0.089999996
0.140000001,-0.689999998,-0.089999996
0.129999995,-0.259999991,0.170000002
0.129999995,-0.259999991,0.170000002
0.129999995,-0.259999991,0.170000002
0.129999995,-0.259999991,0.170000002
0.129999995,-0.259999991,0.170000002
0.129999995,-0.259999991,0.170000002
0.149999991,-0.799999952,0.550000012
0.149999991,-0.799999952,0.550000012
0.149999991,-0.799999952,0.550000012
0.149999991,-0.799999952,0.550000012
0.149999991,-0.799999952,0.550000012
0.149999991,-0.799999952,0.550000012
0.579999983,-0.119999997,0.75
0.579999983,-0.119999997,0.75
0.579999983,-0.119999997,0.75
0.579999983,-0.119999997,0.75
0.579999983,-0.119999997,0.75
0.579999983,-0.119999997,0.75
0.399999976,0.029999999,0.879999995
0.399999976,0.029999999,0.879999995
